Quazar Technologies Pvt. Ltd.,,,
,,,
Stock Journal Voucher,,,
No.:,100,Dated:,31/08/2019
Ref.:,,,
Item Name,Godown,,
,Quantity,Rate,Amount
Source (Consumption),,,
CAP AL SMD UCD1V101MNL1GS CPOL-SMD-D8,GENERAL GODOWN,,
,5 qty,22.653/qty,113.265
CAP CER SMD 100nF 0603,GENERAL GODOWN,,
,51 qty,0.432/qty,22.032
CAP CER SMD 010nF,GENERAL GODOWN,,
,2 qty,1.539/qty,3.078
CAP CER SMD 001nF,GENERAL GODOWN,,
,1 qty,1.350/qty,1.350
CAP CER SMD 001.0uF,GENERAL GODOWN,,
,2 qty,2.402/qty,4.804
CAP CER SMD 020pF,GENERAL GODOWN,,
,2 qty,1.929/qty,3.858
CAP CER SMD 220nF,GENERAL GODOWN,,
,15 qty,1.686/qty,25.290
CAP TANT SMD 10uF/25V,GENERAL GODOWN,,
,34 qty,16.665/qty,566.610
CONN BNC 01PIN F TEFLON BASE,GENERAL GODOWN,,
,2 qty,66.084/qty,132.168
CONN FRC 16 PIN WITHOUT LOCK,GENERAL GODOWN,,
,1 qty,6.667/qty,6.667
CONN FRC 20 PIN WITHOUT LOCK,GENERAL GODOWN,,
,1 qty,7.523/qty,7.523
CRYSTAL AT ABM3-16.000MHZ-D2Y-T,GENERAL GODOWN,,
,1 qty,42.666/qty,42.666
IC SMD 24LC16B-1/SN,GENERAL GODOWN,,
,1 qty,20.211/qty,20.211
IC SMD 74LVC2G02DP MSOP8,GENERAL GODOWN,,
,3 qty,23.889/qty,71.667
IC SMD AD7177-2BRUZ (TSSOP24),GENERAL GODOWN,,
,1 qty,1591.747/qty,1591.747
IC SMD ADA4522-2ARMZ,GENERAL GODOWN,,
,5 qty,270.287/qty,1351.435
IC SMD ADG1404YRUZ (TSSOP14),GENERAL GODOWN,,
,1 qty,266.667/qty,266.667
IC SMD ADG1408YRUZ (TSSOP16),GENERAL GODOWN,,
,1 qty,326.604/qty,326.604
IC SMD ADG1419BRMZ MSOP8,GENERAL GODOWN,,
,1 qty,262.942/qty,262.942
IC SMD ADUM7642ARQZ,GENERAL GODOWN,,
,1 qty,248.111/qty,248.111
IC SMD DS28EC20P+,GENERAL GODOWN,,
,1 qty,159.690/qty,159.690
IC SMD ISO1541D,GENERAL GODOWN,,
,1 qty,289.978/qty,289.978
IC SMD PCA9557D,GENERAL GODOWN,,
,2 qty,44.878/qty,89.756
IC SMD SN74LVC138APW TSSOP16,GENERAL GODOWN,,
,1 qty,21.114/qty,21.114
IC SMD TPS73633DBV SOT23-5,GENERAL GODOWN,,
,2 qty,126.478/qty,252.956
Relay G6KU-2F-Y-TR-DC3,GENERAL GODOWN,,
,3 qty,170.444/qty,511.332
RES SMD 001.8K,GENERAL GODOWN,,
,3 qty,,
RES SMD 100E,GENERAL GODOWN,,
,1 qty,0.470/qty,0.470
RES SMD 100K,GENERAL GODOWN,,
,4 qty,0.270/qty,1.080
RES SMD 010E,GENERAL GODOWN,,
,2 qty,0.242/qty,0.484
RES SMD 010K,GENERAL GODOWN,,
,7 qty,0.562/qty,3.934
RES SMD 012K,GENERAL GODOWN,,
,2 qty,0.750/qty,1.500
RES SMD 002.2K,GENERAL GODOWN,,
,2 qty,0.415/qty,0.830
RES SMD 330E,GENERAL GODOWN,,
,4 qty,0.435/qty,1.740
RES SMD 004.7K,GENERAL GODOWN,,
,5 qty,0.417/qty,2.085
RES SMD 470E,GENERAL GODOWN,,
,2 qty,0.371/qty,0.742
RES SMD 047K,GENERAL GODOWN,,
,2 qty,0.975/qty,1.950
RES SMD 082K,GENERAL GODOWN,,
,8 qty,,
RES SMD 009.1K 0805 1%,GENERAL GODOWN,,
,2 qty,0.278/qty,0.556
RES SMD RN73C2A100KB 0805,GENERAL GODOWN,,
,1 qty,46.526/qty,46.526
RES SMD RN73C2A1K1B 0805,GENERAL GODOWN,,
,1 qty,35.849/qty,35.849
RES SMD RN73C2A24K9B 0805,GENERAL GODOWN,,
,2 qty,77.434/qty,154.868
RES SMD RN73C2A3K92B,GENERAL GODOWN,,
,1 qty,57.127/qty,57.127
RES SMD RN73C2A499RB,GENERAL GODOWN,,
,1 qty,19.528/qty,19.528
RES SMD RN73C2A825RB,GENERAL GODOWN,,
,3 qty,73.412/qty,220.236
CAP CER SMD GCM31CR71A226KE02L 1206,GENERAL GODOWN,,
,4 qty,50.000/qty,200.000
IC SMD ADA4528-2ARMZ MSOP8,GENERAL GODOWN,,
,1 qty,166.667/qty,166.667
IC SMD ADG5436FBRUZ TSSOP16,GENERAL GODOWN,,
,1 qty,650.667/qty,650.667
IC SMD ADG5462FBRUZ TSSOP16,GENERAL GODOWN,,
,1 qty,500.000/qty,500.000
IC SMD ADR4550BRZ SOIC8,GENERAL GODOWN,,
,2 qty,360.000/qty,720.000
IC SMD LT3045EMSE MSOP12-EP,GENERAL GODOWN,,
,2 qty,480.000/qty,960.000
IC SMD LT3094EMSE MSOP12-EP,GENERAL GODOWN,,
,2 qty,400.000/qty,800.000
IC SMD SN74LVC1G125DCK SC70-5,GENERAL GODOWN,,
,1 qty,26.667/qty,26.667
LED SMD LTST-C235KGKRKT BILED-1206,GENERAL GODOWN,,
,2 qty,17.600/qty,35.200
RES SMD RN73C2A121KB 0805,GENERAL GODOWN,,
,2 qty,68.300/qty,136.600
RES SMD RN73C2A2K7B 0805,GENERAL GODOWN,,
,2 qty,48.200/qty,96.400
RES SMD RN73C2A49R9B 0805,GENERAL GODOWN,,
,12 qty,21.133/qty,253.596
RES SMD RN73C2A82R5B 0805,GENERAL GODOWN,,
,2 qty,49.400/qty,98.800
RES SMD RN73C2A8K25B 0805,GENERAL GODOWN,,
,2 qty,49.400/qty,98.800
RES SMD RN73C2A8R25B 0805,GENERAL GODOWN,,
,2 qty,49.400/qty,98.800
RES SMD RNCF0805TKY10K0 0805,GENERAL GODOWN,,
,10 qty,80.000/qty,800.000
RES SMD RQ73C2B1M0BTD 1206,GENERAL GODOWN,,
,1 qty,60.000/qty,60.000
LIGHT PIPE SLP3-300-100-F LIGHTPIPE-1-RA-1,GENERAL GODOWN,,
,2 qty,10.000/qty,20.000
245 qty,,12665.223,
Destination (Production),,,
Card X-NVM-R3,GENERAL GODOWN,,
,1 qty,12665.223/qty,12665.223
1 qty,,12665.223,
Narration:,For IIT Palakkad,,
Checked by,Verified by,Authorised Signatory,
